Product_ID,Product_Name,Category,Subcategory,Brand,Unit_Price_SAR,Cost_Price_SAR,Stock_Quantity,Reorder_Level,Supplier_ID,Weight_kg,Warranty_Months,Rating,Is_Active
PROD-000102,Slim Fit Jeans,Fashion,Men's Clothing,GlobalTech,2482.63,1491.22,547,158,SUP-197,6.76,12,4.7,FALSE
PROD-000103,Formal Shirt,Fashion,Men's Clothing,AlFaisal,4923.04,2198.26,1004,195,SUP-146,21.15,0,3.1,TRUE
PROD-000104,Polo Shirt,Fashion,Men's Clothing,SaudiMart,3317.25,2181.89,562,170,SUP-100,40.84,36,4.8,TRUE
PROD-000105,Chino Pants,Fashion,Men's Clothing,GlobalTech,3057.49,1181.37,985,43,SUP-071,17.61,0,5,TRUE
PROD-000106,Hoodie,Fashion,Men's Clothing,Premium,4510.16,1305,1039,131,SUP-042,41.81,6,3.6,TRUE
PROD-000107,Bomber Jacket,Fashion,Men's Clothing,Hijazi,2320.51,2030.87,1991,138,SUP-032,8.98,36,4,TRUE
PROD-000108,Suit Blazer,Fashion,Men's Clothing,ValueMax,3941.84,1482.02,1477,142,SUP-001,33.33,24,4.1,TRUE
PROD-000109,Cargo Shorts,Fashion,Men's Clothing,DesertBloom,868.75,1320.15,1764,128,SUP-199,8.13,12,3.3,TRUE
PROD-000110,Tank Top,Fashion,Men's Clothing,Hijazi,2536.27,2544.34,1943,70,SUP-001,35,0,3,FALSE
PROD-000111,Floral Dress,Fashion,Women's Clothing,Premium,3191.08,127.64,1603,93,SUP-109,44.91,12,4.6,TRUE
PROD-000112,Skinny Jeans,Fashion,Women's Clothing,ValueMax,452.08,2290.29,1106,126,SUP-139,32.31,12,4,FALSE
PROD-000113,Blouse,Fashion,Women's Clothing,RedSea,3017.06,586.68,365,21,SUP-054,36.11,6,2.9,FALSE
PROD-000114,Maxi Skirt,Fashion,Women's Clothing,Premium,2361.98,1947.33,423,140,SUP-094,18.67,24,3.8,TRUE
PROD-000115,Cardigan,Fashion,Women's Clothing,AlFaisal,2428.3,2083.41,791,103,SUP-055,0.31,6,3.2,FALSE
PROD-000116,Crop Top,Fashion,Women's Clothing,RedSea,1037.54,2733.76,228,76,SUP-034,7.59,12,4.9,TRUE
PROD-000117,Wide Leg Pants,Fashion,Women's Clothing,SaudiMart,1304.54,421.27,863,120,SUP-079,37.65,12,4.3,TRUE
PROD-000118,Evening Gown,Fashion,Women's Clothing,ValueMax,1417.01,2718.65,757,185,SUP-165,22.23,0,3.2,TRUE
PROD-000119,Kimono,Fashion,Women's Clothing,Najdi,2118.11,443.3,1346,84,SUP-126,21.98,0,3,TRUE
PROD-000120,Jumpsuit,Fashion,Women's Clothing,Premium,311.05,2885.7,124,32,SUP-037,12.83,36,4.4,FALSE
PROD-000121,Cartoon T-Shirt,Fashion,Kids' Clothing,RedSea,579.33,1383.79,1203,81,SUP-154,30.19,24,4,TRUE
PROD-000122,School Uniform,Fashion,Kids' Clothing,OasisHome,3782.93,1841.53,415,82,SUP-130,9.87,6,3.8,FALSE
PROD-000123,Winter Jacket,Fashion,Kids' Clothing,Premium,2569.16,1658.69,1631,122,SUP-134,29.08,36,2.9,TRUE
PROD-000124,Pajama Set,Fashion,Kids' Clothing,Hijazi,1063.81,2612.69,888,157,SUP-027,45.56,24,3.4,TRUE
PROD-000125,Denim Overalls,Fashion,Kids' Clothing,OasisHome,1673.12,1477.54,1695,182,SUP-155,41.71,36,3.1,FALSE
PROD-000126,Sports Jersey,Fashion,Kids' Clothing,OasisHome,3667.78,1084.85,233,168,SUP-155,26.19,24,4.9,TRUE
PROD-000127,Rain Coat,Fashion,Kids' Clothing,ValueMax,2028.32,2003.35,1903,73,SUP-075,8.91,36,4.3,TRUE
PROD-000128,Swimwear,Fashion,Kids' Clothing,Premium,1982.13,468.67,1473,59,SUP-105,33.17,24,3,TRUE
PROD-000129,Party Dress,Fashion,Kids' Clothing,SaudiMart,2255.87,1325.58,1517,133,SUP-199,26.96,24,4.9,TRUE
PROD-000130,Track Suit,Fashion,Kids' Clothing,ValueMax,2418.52,1602.06,138,175,SUP-012,18.01,36,3.6,FALSE
PROD-000131,Running Sneakers,Fashion,Shoes,Premium,4748.86,1725.88,1164,78,SUP-056,1.75,6,4.2,TRUE
PROD-000132,Leather Oxfords,Fashion,Shoes,SaudiMart,3348.14,480.23,524,55,SUP-100,5.96,6,3.1,TRUE
PROD-000133,High Heels,Fashion,Shoes,Premium,3469.22,1498.31,797,109,SUP-028,26.45,12,4.4,TRUE
PROD-000134,Sandals,Fashion,Shoes,ValueMax,2689.56,1231.3,805,40,SUP-055,7.15,12,2.6,TRUE
PROD-000135,Boots,Fashion,Shoes,AlFaisal,4859.14,554,956,123,SUP-053,30.01,12,3.7,TRUE
PROD-000136,Slip-Ons,Fashion,Shoes,Najdi,3307.69,1574,70,22,SUP-120,7.08,12,4.6,TRUE
PROD-000137,Basketball Shoes,Fashion,Shoes,Premium,3877.27,2377.9,55,168,SUP-160,40.61,36,3.6,TRUE
PROD-000138,Hiking Boots,Fashion,Shoes,RedSea,3229.69,2630.49,641,196,SUP-005,46.5,0,4.7,TRUE
PROD-000139,Ballet Flats,Fashion,Shoes,RedSea,2523.55,1405.76,457,108,SUP-185,30.41,12,3.2,TRUE
PROD-000140,Crocs,Fashion,Shoes,AlFaisal,1185.73,1150.06,601,178,SUP-145,19.65,0,3.7,FALSE
PROD-000141,Leather Backpack,Fashion,Bags,Hijazi,724.96,488.82,1428,129,SUP-079,43.53,24,4.3,TRUE
PROD-000142,Tote Bag,Fashion,Bags,AlFaisal,4672.6,716.93,69,22,SUP-038,24.89,6,3.7,TRUE
PROD-000143,Crossbody Bag,Fashion,Bags,SaudiMart,4282.49,1432.95,859,176,SUP-121,38.22,24,4.2,TRUE
PROD-000144,Laptop Bag,Fashion,Bags,Premium,3464.02,2692.18,221,84,SUP-092,12.09,36,3.4,TRUE
PROD-000145,Duffel Bag,Fashion,Bags,GlobalTech,4654.27,1551.04,1787,38,SUP-040,38.11,0,3.7,TRUE
PROD-000146,Clutch,Fashion,Bags,SaudiMart,141.11,1838.7,1577,178,SUP-176,4.14,12,3.4,TRUE
PROD-000147,Waist Bag,Fashion,Bags,ValueMax,1106.93,1759.58,1355,60,SUP-037,43.34,12,3.3,FALSE
PROD-000148,Weekender,Fashion,Bags,AlFaisal,925.95,551.04,196,97,SUP-191,48.63,36,3.3,TRUE
PROD-000149,Diaper Bag,Fashion,Bags,OasisHome,3115.18,2322.65,1176,115,SUP-168,4.36,24,3.5,TRUE
PROD-000150,Gym Bag,Fashion,Bags,OasisHome,4689.75,721.5,162,101,SUP-112,29.23,36,4.8,FALSE
PROD-000151,Analog Dress Watch,Fashion,Watches,SaudiMart,1755.9,1980.62,1564,131,SUP-154,18.53,0,2.5,FALSE
PROD-000152,Digital Sports Watch,Fashion,Watches,OasisHome,2064.84,343.02,1608,36,SUP-036,25.99,24,3.2,TRUE
PROD-000153,Smart Watch,Fashion,Watches,GlobalTech,2275.09,578.72,50,195,SUP-097,28.94,36,3.1,TRUE
PROD-000154,Chronograph,Fashion,Watches,GlobalTech,1387.84,403.95,902,152,SUP-150,30.16,36,4.7,FALSE
PROD-000155,Diver Watch,Fashion,Watches,DesertBloom,2533.99,2885.62,480,21,SUP-200,32.12,36,3.2,TRUE
PROD-000156,Pilot Watch,Fashion,Watches,DesertBloom,387.47,1082.65,656,118,SUP-014,28.03,6,4.4,TRUE
PROD-000157,Minimalist Watch,Fashion,Watches,DesertBloom,3268.27,167.7,1437,159,SUP-091,37.24,36,3.9,TRUE
PROD-000158,Skeleton Watch,Fashion,Watches,RedSea,3072.1,1658.45,1122,89,SUP-070,48.07,36,4.7,FALSE
PROD-000159,Field Watch,Fashion,Watches,AlFaisal,4950.43,1381.49,1274,67,SUP-128,32.11,0,4.2,TRUE
PROD-000160,Vintage Watch,Fashion,Watches,RedSea,2559.09,923.71,966,29,SUP-087,20.02,6,3.1,TRUE
PROD-000161,Gold Necklace,Fashion,Jewelry,AlFaisal,1971.6,28.28,1328,99,SUP-070,31.34,0,3.4,TRUE
PROD-000162,Silver Bracelet,Fashion,Jewelry,DesertBloom,4202.67,2724.29,1377,76,SUP-086,2.73,24,4.1,FALSE
PROD-000163,Diamond Ring,Fashion,Jewelry,Najdi,4184.12,2540.55,1699,112,SUP-008,49.23,36,2.6,TRUE
PROD-000164,Pearl Earrings,Fashion,Jewelry,AlFaisal,3485.72,1289.17,992,157,SUP-148,10.72,24,3.9,TRUE
PROD-000165,Charm Pendant,Fashion,Jewelry,ValueMax,494.65,1808.71,998,88,SUP-058,23.14,36,4.6,TRUE
PROD-000166,Cufflinks,Fashion,Jewelry,OasisHome,1638.15,464,1421,165,SUP-188,46.4,24,4.5,TRUE
PROD-000167,Anklet,Fashion,Jewelry,ValueMax,636.88,421.15,865,89,SUP-128,3.66,12,3,TRUE
PROD-000168,Brooch,Fashion,Jewelry,DesertBloom,417.09,230.22,1295,168,SUP-013,6.63,24,4.4,TRUE
PROD-000169,Tennis Bracelet,Fashion,Jewelry,OasisHome,2432.53,582.9,1295,161,SUP-028,39.16,6,2.5,TRUE
PROD-000170,Statement Necklace,Fashion,Jewelry,GlobalTech,4983.55,1115.02,332,83,SUP-126,26.75,0,3,FALSE
PROD-000171,Aviator,Fashion,Sunglasses,OasisHome,4004.01,2215.52,370,151,SUP-114,13.29,6,4.5,FALSE
PROD-000172,Wayfarer,Fashion,Sunglasses,AlFaisal,2026.01,2697.45,1131,120,SUP-106,38.04,0,4.4,TRUE
PROD-000173,Cat Eye,Fashion,Sunglasses,Premium,218.07,156.46,737,162,SUP-148,32.91,6,3.9,TRUE
PROD-000174,Round Frame,Fashion,Sunglasses,Hijazi,4163.38,2596.55,108,43,SUP-081,13.55,36,5,TRUE
PROD-000175,Oversized,Fashion,Sunglasses,Hijazi,2709.17,1682.97,101,143,SUP-117,31.09,12,4,TRUE
PROD-000176,Sport Wrap,Fashion,Sunglasses,RedSea,4401.37,2939.78,1784,49,SUP-089,33.52,0,4.9,TRUE
PROD-000177,Clubmaster,Fashion,Sunglasses,Najdi,2040.62,2666.71,1347,172,SUP-088,12.7,24,2.7,TRUE
PROD-000178,Butterfly,Fashion,Sunglasses,Najdi,4594.77,1249.76,289,121,SUP-101,21.47,36,3.4,TRUE
PROD-000179,Shield,Fashion,Sunglasses,AlFaisal,1186.2,2622.33,1402,122,SUP-057,24.93,24,3.6,TRUE
PROD-000180,Retro Square,Fashion,Sunglasses,ValueMax,3109.29,1061.77,1227,31,SUP-044,33.17,12,3.2,TRUE
PROD-000181,Compression Shirt,Fashion,Sportswear,OasisHome,4471.91,1686.65,1709,129,SUP-047,9.31,24,4.9,TRUE
PROD-000182,Yoga Leggings,Fashion,Sportswear,ValueMax,3236.44,1583.27,802,44,SUP-080,19.31,6,3.9,TRUE
PROD-000183,Running Shorts,Fashion,Sportswear,Najdi,1101.35,1010.77,1926,35,SUP-169,18.77,6,3,TRUE
PROD-000184,Training Jacket,Fashion,Sportswear,GlobalTech,3155.29,239.08,403,108,SUP-111,5.77,0,4.9,TRUE
PROD-000185,Cycling Jersey,Fashion,Sportswear,DesertBloom,2433.46,874.27,384,96,SUP-079,22.87,36,4.5,FALSE
PROD-000186,Swim Trunks,Fashion,Sportswear,DesertBloom,3744.51,686.17,1270,48,SUP-124,38.21,0,4,FALSE
PROD-000187,Tennis Skirt,Fashion,Sportswear,Premium,814.99,517.12,1069,159,SUP-088,33.35,36,5,TRUE
PROD-000188,Boxing Gloves,Fashion,Sportswear,OasisHome,613.8,1906.69,1538,100,SUP-179,34.11,24,3.3,FALSE
PROD-000189,Mouth Guard,Fashion,Sportswear,RedSea,2243.22,90.61,924,69,SUP-157,23.89,36,4.1,TRUE
PROD-000190,Sweatband,Fashion,Sportswear,Hijazi,1745.86,1029.91,993,170,SUP-147,40.52,0,3.5,TRUE
PROD-000191,Thobe,Fashion,Traditional Wear,RedSea,1323.77,991.78,176,149,SUP-010,29.91,12,3.3,TRUE
PROD-000192,Abaya,Fashion,Traditional Wear,ValueMax,4491.04,1990.28,592,46,SUP-095,46.1,36,4.9,TRUE
PROD-000193,Shalwar Kameez,Fashion,Traditional Wear,RedSea,2742.55,26.14,1971,129,SUP-198,4.45,24,2.6,FALSE
PROD-000194,Kaftan,Fashion,Traditional Wear,RedSea,3040.09,358.97,626,103,SUP-055,49.97,24,4.2,TRUE
PROD-000195,Sherwani,Fashion,Traditional Wear,DesertBloom,115.05,2458.44,780,176,SUP-025,13.88,0,3.4,TRUE
PROD-000196,Kandura,Fashion,Traditional Wear,GlobalTech,1763.26,1426.31,384,141,SUP-109,44.79,36,3.2,TRUE
PROD-000197,Bisht,Fashion,Traditional Wear,OasisHome,1346.64,1890.84,1037,37,SUP-004,30.97,24,2.8,TRUE
PROD-000198,Ghutra,Fashion,Traditional Wear,Hijazi,3217.13,1973.71,612,108,SUP-027,15.65,12,2.7,TRUE
PROD-000199,Iqal,Fashion,Traditional Wear,AlFaisal,2668.1,574.76,996,74,SUP-099,27.5,24,2.9,FALSE
PROD-000200,Shemagh,Fashion,Traditional Wear,Najdi,3636.47,2535.95,1059,32,SUP-137,12.94,36,3.8,TRUE
PROD-000201,Sofa Set,Home & Kitchen,Furniture,Najdi,4141.47,938.31,286,139,SUP-183,8.58,6,4.1,TRUE
PROD-000202,Dining Table,Home & Kitchen,Furniture,ValueMax,3026.65,1371.38,35,99,SUP-186,46.86,12,3.1,TRUE
PROD-000203,Bed Frame,Home & Kitchen,Furniture,OasisHome,124.16,28.51,1375,20,SUP-067,17.95,0,4.2,TRUE
PROD-000204,Wardrobe,Home & Kitchen,Furniture,Premium,431.97,1543.63,472,74,SUP-014,1.52,24,4.1,FALSE
PROD-000205,Coffee Table,Home & Kitchen,Furniture,OasisHome,3576.77,423.02,935,66,SUP-043,10.42,24,3.1,FALSE
PROD-000206,Bookshelf,Home & Kitchen,Furniture,ValueMax,4287.68,185.28,1702,73,SUP-038,45.85,24,4.7,TRUE
